value_sequence,finalLabel
0.001373 0.050049 0.053253 0.046997 0.041656 0.03418 0.024109 0.017242 0.018311 0.024414 0.027313 0.033417 0.038605 0.033722 0.032959 0.032806 0.03418 0.038147 0.03952 0.039825 0.041504 0.040436 0.038452 0.038147 0.035553 0.023499 0.016632 0.017242 0.02121 0.027618 0.031281 0.039978 0.056305 0.066681 0.074158 0.068512 0.037231 -0.00061 -0.014954 -0.032196 -0.034027 -0.029755 -0.01297 0.0 0.010986 0.011292 0.006714 0.013123 0.021515 0.033417 0.033875 0.0354 0.039673 0.037079 0.036469 0.040283 0.03067 0.0354 0.03418 0.031891 0.025787 0.017548 0.015869 0.010529 0.002289 -0.006409 -0.009613 -0.006409 -0.005341 -0.005035 -0.009155 -0.014648 -0.016327 -0.014343 -0.009918 -0.01236 -0.010376 -0.012054 -0.01358 -0.000153 0.003662 0.001373 -0.00412 -0.011444 -0.005493 -0.00946,0
0.067749 -0.164032 -0.567627 -0.953369 -1.166534 -1.160889 -0.979309 -0.672455 -0.36499 -0.137787 -0.022125 0.013885 0.032043 0.028381 0.035248 0.036316 0.036316 0.028534 0.031433 0.025787 0.027771 0.025482 0.024872 0.023346 0.02182 0.017853 0.015869 0.019226 0.020447 0.028534 0.028534 0.037231 0.046692 0.044403 0.043335 0.042572 0.041046 0.029907 0.022888,0
0.0,0
1e-05 0.238953 0.454712 0.537262 0.506287 0.388641 0.200806 -0.010681 -0.22049 -0.389557 -0.498962 -0.52002 -0.466919 -0.341949 -0.183105 -0.07019 -0.003815,1
0.02533 0.033112 0.030975 0.026245 0.01358 0.006104 0.002747 0.003815 0.012207 0.015564 0.017853 0.018005 0.013123 0.013733 0.018768 0.025024 0.021973 0.019684 0.018921 0.023499 0.028534 0.019989 0.018616 0.017853 0.014038 0.00824 0.011292 0.007782 0.012054 0.009918 0.00946 0.005798 0.003815 0.004425 0.008087 0.006256 0.00473 0.004883 0.010986 0.015411 0.018768 0.023804 0.040588 0.04364 0.046692 0.037842 0.037384 0.016632 -0.007782 -0.022125 -0.019836 -0.020599 -0.018768 -0.020905 -0.005951 0.001678 0.011292 0.007324 0.005798 0.009766 0.00946 0.014038 0.00885 0.013123 0.015411 0.010834 0.007324 0.008087 0.001373 -0.005035 -0.005035 -0.010529 -0.00946 -0.008698 -0.007324 -0.00412 0.003662 0.026703 0.032654 0.039062 0.036621 0.016022 -0.005951 -0.028534 -0.036469 -0.031891 -0.020752 -0.006561 0.00824 0.012207 0.026245 0.019073 0.010071 0.00412 -0.004272 -0.007629 -0.006866 -0.009766 -0.013275 -0.009308 -0.008392 -0.006409 -0.001373 -0.005341 -0.004578 -0.002441 0.005951 0.002441 -0.001221 -0.004578 -0.007019 -0.002289 -0.001373 0.001068 -0.003815 -0.000458 0.002289 -0.000305 0.007324 -0.00061 -0.002136 0.001373 -0.005951 -0.007629 -0.013885 -0.013428 -0.007935,0
0.0,0
-0.003357,0
0.002136 0.005341 0.009766 0.009918 0.014191 0.01709 0.026398 0.099335 0.305939 0.672455 1.028137 1.202698 1.326599 1.189728 0.542755 -0.374146 -1.115723 -1.514587 -1.542053 -1.515656 -1.299438 -0.821686 -0.398865 -0.140533 -0.020905,1
0.009308 0.027161 0.032196 0.036469 0.034485 0.042725 0.05188 0.077362 0.119629 0.147552 0.148315 0.137787 0.096588 0.043182 -0.021667 -0.066986 -0.087891 -0.094604 -0.062561 -0.025177 0.004578 0.019073 0.028229 0.033569 0.037537 0.031128 0.021973 0.021667 0.018616 0.022888 0.023804 0.019989 0.021362 0.018463 0.022278 0.021515 0.018921 0.016937 0.017853 0.019531 0.016785 0.020142 0.024872 0.020752 0.023651 0.026398 0.02243 0.036774 0.039215 0.046387 0.045776 0.043182 0.031738 0.016937 -0.012054 -0.021057 -0.027924 -0.020142 -0.016937 0.002594 0.024719 0.049591 0.091705 0.182648 0.303802 0.419769 0.459747 0.419617 0.286407,0
0.002747 0.003052 0.030518 0.107269 0.264893 0.588379 1.014862 1.386719 2.006836 2.571564 2.518616 2.261505 2.034302 1.30188 -0.020447 -1.572876 -2.992249 -3.274536 -2.968597 -2.706604 -2.440948 -1.660156 -0.930328 -0.389709 -0.130005 -0.03479 -0.005951 -1e-05,1
